"School","City","Perioxi","Category","Subcategory","Organization","Facebook","Website","Logo","Address","TK","Phone","email","Courses","Place","Rensponsible","Description","Verified","mobile","type","toPublish","UID","id","about","page_token","link","description","checkins","category","website","UID","picture","cover","emails","phone","street","longitude","latitude","located_in"
"Livestrong","Αθήνα","Π.Φάληρο","Κλειστού Χώρου","PILATES",,"https://www.facebook.com/livestrongthegym?ref=br_rs","http://www.livestrongthegym.gr/#/HOME-01-00/","νέα-εικόνα (1).jpg","Άρεως 18, Π.Φάληρο, ΤΚ 17562","17562",,"info@livestrongthegym.gr",,,,,,,,,"1475","207671622606950","livestrong is the place where training feels like home..","livestrongthegym","https://www.facebook.com/livestrongthegym/","All about health & fitness","3032","Gym/Physical Fitness Center","www.livestrongthegym.gr","1475","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/486376_497042057003237_1394416469_n.jpg?oh=8af867f01ae16fe95680a6725028a3b6&oe=5B418D18","https://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/16649284_1574582019249230_3821288201175282169_n.jpg?oh=3cb1740da5ea0252bcfd8241973adaec&oe=5B346A69","info@livestrongthegym.gr","302109852570","18 Areos street","23.69868","37.9234",
"Life - Ergo Εργομετρικό Κέντρο","Αθήνα","Μαρούσι(ΠλησίονΗΣΑΠΕΙΡΗΝΗ)","MEDICAL",,,"https://www.facebook.com/LifErgo?fref=ts","http://www.lifergo.gr/","life-ergo-logo.jpg","Ο.Α.Κ.Α, Αμαρουσίου Αρτέμιδος,Μαρούσι (Πλησίον ΗΣΑΠ ΕΙΡΗΝΗ)",,,"info@lifergo.gr",,,,,,,,,"1283","304805099547942","Σύγχρονο Εργομετρικό κέντρο στο εθνικό Προπονητήριο ΟΑΚΑ . ","LifErgo","https://www.facebook.com/LifErgo/","Με τα πιο σύγχρονα κ εξελιγμένα όργανα μετρήσεων που υπάρχουν στον χώρο του αθλητισμού παρέχουμε μια σειρά από συνδυασμένα πακέτα υπηρεσιών & προγραμμάτων άθλησης για την καλύτερη & πληρέστερη εξυπηρέτηση σας μέσω επιστημονικών & ολοκληρωμένων υπηρεσιών, βασισμένα στις ανάγκες του αθλητή.","169","Gym/Physical Fitness Center","http://www.lifergo.gr/","1283","https://scontent.xx.fbcdn.net/v/t1.0-1/c6.0.50.50/p50x50/10366258_827372293957884_7007668985985820017_n.jpg?oh=fffaee67584b26d74a1e63d3c19ae5aa&oe=5B44445D","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/10688249_927061573988955_4724558998448094411_o.jpg?oh=5196a1f6948ee487f499dfb3dd1ee90e&oe=5B080148","info@lifergo.gr","6945774206","Αμαρυσίας Αρτέμιδος ( Εθνικό προπονητήριο ΟΑΚΑ )","23.788228411304","38.040609974776",
"Mediterranean Dive Center","Αθήνα","Πειραιάς","ΚΑΤΑΔΥΤΙΚΑ ΚΕΝΤΡΑ",,,"https://www.facebook.com/MediteranneanDiveCenter/timeline","http://www.pozidis.gr/","10734002_761801870573001_5355553794265906313_n.jpg","Αλεξάνδρου Παπαναστασίου 95(πρωην Β.Παύλου),Πειραιάς,Τ.Κ: 18533","18533",,"info@pozidis.gr",,,,,,,,,"1544","382208708532321",,"MediteranneanDiveCenter","https://www.facebook.com/MediteranneanDiveCenter/","Σχολή αυτόνομης κατάδυσης PADI 5 * IDC DIVE CENTER Εμπόριο εξοπλισμού αυτόνομης και ελεύθερης κατάδυσης Ενοικίαση εξοπλισμού Οργανωμένες εκδρομές Επισκευή εξοπλισμού","128","Scuba Diving Center","http://www.pozidis.gr/","1544","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/10734002_761801870573001_5355553794265906313_n.jpg?oh=3a34d95dd66588e5d42ceadab61158f0&oe=5B06BF8E","https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/23550970_1595099997243180_8219972498444861978_o.jpg?oh=5bb2b423badc379db9b94b6f395241f0&oe=5B0A3488","info@pozidis.gr","00302104125376 - 00302104227537","Λεωφ. Αλεξάνδρου Παπαναστασίου 95 (πρώην Βασιλέως Παύλου)","23.660184144974","37.940136172197",
"«ΑΘΛΟΣ» ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΚΑΡΑΤΕ ΕΛΛΗΝΙΚΟΥ","Αθήνα","Έλληνικό",,,,"https://www.facebook.com/pages/Katsalifis-Karate/433144390096735?fref=ts","http://www.katsalifisacademy.gr/","νέα-εικόνα (2).jpg","Ιασωνιδου & Πλαπούτα 21, Έλληνικό, ΤΚ 16777","16777",,"lefteriskatsalifis@yahoo.gr",,,,,,,,,"922","433144390096735","SOO BAHK DO-JU JITSU-KICK BOXING-PILATES-HAEDONG KUMDO","katsalifisacademy","https://www.facebook.com/katsalifisacademy/",,"343","Stadium, Arena & Sports Venue","www.katsalifisacademy.gr","922","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/14291827_1083726668371834_8163743713996563520_n.jpg?oh=38dd9689da24b634a48b7dd22a38ca2b&oe=5B499888","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/20280370_1395479177196580_7638613352066236560_o.jpg?oh=4b20f5474ec563b004471251cf0a41fa&oe=5B087BCA",,"2109639190","ΠΛΑΠΟΎΤΑ 21","23.75822","37.89209",
"Body Care Ladies","Αθήνα","Καλλιθέα","Κλειστού Χώρου","ΓΥΜΝΑΣΤΗΡΙΟ",,"https://www.facebook.com/pages/bodycareladies-fitness/211974048815712","http://www.bodycareladies.gr/","logo (15).png","Δαβάκη 68, Καλλιθέα, TK 17672","17672",,"bodycareladies@gmail.com",,,,,,,,,"1085","211974048815712","Ένας Χώρος μόνο για γυναίκες! Pilates therapy -Reformer-Pilates mat- Yoga fitness -Δυναμικά Προγράμματα TRX-Cross & vibration training- personal training!!","bodycareladies-fitness-211974048815712","https://www.facebook.com/bodycareladies-fitness-211974048815712/","ΚΑΘΗΜΕΡΙΝΑ 9.30-22.00,PILATES RINGS-PILATES MAGIC BALL-YOGA BODY BALANCE-SHAPE FITNESS--BODY STEP- AEROBICS!! PILATES REFORMER&CADILAC!! VIBRATION TRAINING!! ΑΔΥΝΑΤΙΣΜΑ ΣΥΣΦΙΞΗ ΚΥΤΤΑΡΙΤΙΔΑ ΕΥΕΞΙΑ!! ΓΙΑΤΙ ΣΤΟ BODYCARE ΞΕΡΟΥΜΕ ΝΑ ΦΡONTIZOYME ΚΑΛΑ ΤΟ ΓΥΝΑΙΚΕΙΟ ΣΩΜΑ ΕΔΩ ΚΑΙ 28 ΧΡΟΝΙΑ!!","162","Gym/Physical Fitness Center","http://www.bodycareladies.gr","1085","https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.50.50/p50x50/12347853_1107425302603911_520569656303042515_n.jpg?oh=3a371dfc542256bbe4eb4de25cc35c6d&oe=5B0C8EF9","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/886013_1087774724568969_6506032685537133920_o.png?oh=62073b997835de9b7238c979d02edb3e&oe=5B41ABA4","info@bodycareladies.gr","2109561803-2109585139","davaki 68","23.7034767","37.9547999",
"Αθλητικός Σύλλογος Καράτε «Ο δρόμος της Ειρήνης»","Αθήνα",,"Πολεμικές τέχνες","Karate",,"https://www.facebook.com/pages/karate/161285983021?sk=timeline&ref=page_internal",,"http://www.fightsports.gr/wp-content/uploads/2013/12/rachoutis-kataxwrisi-amarousiou.jpg","Δημητρίου Ράλλη 11,Μαρούσι",,"210 80 53 202",,,,,,,,,,"355","161285983021",,"Karate-Club-Amarousiou-161285983021","https://www.facebook.com/Karate-Club-Amarousiou-161285983021/","Από το 2006 στο κέντρο του Αμαρουσίου ( Μαρούσι Αττικής ) λειτουργεί ο Αθλητικός Σύλλογος Καράτε » Ο Δρομος της Ειρήνης «. Πτυχιούχοι και έμπειροι προπονητές καθώς επίσης και καταξιωμένοι αθλητές παγκοσμίου επιπέδου καθοδηγούν όσους θέλουν να γνωρίσουν ( μικρούς και μεγάλους ) αυτό το ξεχωριστό σπορ και αυτή την ιδιαίτερη αλλά και ξεχωριστή πολεμική τέχνη. Πολλοί αθλητές του συλλόγου τα τελευταία χρόνια έχουν πετύχει σπουδαίες διακρίσεις, τόσο στα εγχώρια πανελλήνια πρωταθλήματα της Ελληνικής Ομοσπονδίας Καράτε ( ΕΛΟΚ ), όσο και στα διεθνή επίσημα πρωταθλήματα της Παγκόσμιας Ομοσπονδίας Καράτε ( WKF ). Το Καράτε ως σπορ αριθμεί περίπου 100.000.000 ασκούμενους σε όλο τον κόσμο, εκ των οποίων τα 10.000.000 είναι ενεργοί αθλητές, ενώ η Παγκόσμια Ομοσπονδία Καράτε ( WKF ) αποτελείται από 186 ενεργά κράτη – μέλη. Η Ελληνική Ομοσπονδία Καράτε (ΕΛΟΚ )δημιουργήθηκε το 1986, ενώ το 1990 αναγνωρίστηκε από την Γενική Γραμματεία Αθλητισμού ( ΓΓΑ) καθώς επίσης και από την Διεθνή Ολυμπιακή Επιτροπή ( ΔΟΕ ). Αυτή την στιγμή η Ελληνική Ομοσπονδία Καράτε αριθμεί πάνω από 15.000 ενεργούς αθλητές και πάνω από 400.000 ασκούμενους σε όλη την Ελλάδα, ενώ αριθμεί 486 ενεργούς αθλητικούς συλλόγους σε όλη την ελληνική επικράτεια. Ένα παιδί μπορεί να ενταχθεί στο σπορ του Καράτε από την ηλικία των τεσσάρων ή πέντε ετών. Το καράτε πλέον είναι ένας δημοφιλής τρόπος άσκησης που προτείνεται στους γονείς από τα εκπαιδευτικά συστήματα όλου του κόσμου, ενώ ενδείκνυται για παιδιά με διαφόρους τύπους μαθησιακών δυσκολιών, όπως αυτή της απόσπασης προσοχής, της υπερκινητικότητας, της ελλιπούς συγκέντρωσης και της δυσλεξίας. Η εστίαση της προσοχής, η συγκέντρωση, η πειθαρχία, η υπομονή και η επιμονή που απαιτούνται κατά την διάρκεια της προπόνησης, είναι παράμετροι σημαντικοί που πρέπει να ελεγχθούν από το παιδί – ασκούμενο. Ένας ενήλικας μπορεί να ενταχθεί σε αυτό οσο η διάθεσή του, του επιτρέπει να προσφέρει στον εαυτό του κάτι ωφέλιμο, κάτι που να μπορεί να ασκείται και να εξελίσσεται μέσω αυτού έως τα γεράματά του. Υπάρχουν χιλιάδες ηλικιωμένοι σε όλα τα μέρη του κόσμου που κρατούν, τόσο το σώμα, όσο και το πνεύμα τους δυνατό μέσω της εξάσκησής τους στο Καράτε. Το Καράτε μπορεί να προσφέρει στον ασκούμενο : · Βελτίωση της καρδιοαναπνευστικής και της νευρομυικής του λειτουργίας. · Ομοιόμορφη μυϊκή ενδυνάμωση τόσο των άκρων όσο και του κορμού. · Αυτοπροστασία μέσω της Αυτοάμυνας. · Βελτίωση της ευλυγισίας. · Βελτίωση του ρυθμόυ. · Βελτίωση της κιναισθητικής ικανότητας. · Βελτίωση της συγκέντρωσης και της εστίασης της προσοχής. · Ανάπτυξη της αίσθησης της πρωτοβουλίας ( Αυτοπεποίθηση ). · Καταπολέμηση του φόβου και της δειλίας. · Πειθαρχία. · Αξίες οπως ο Σεβασμός και η Ευγενή Άμιλλα. ","3144","Sports Team","http://www.kca.gr ","355","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/12963485_10153654741358022_107148323659141299_n.jpg?oh=a79c0fc17330f9c4ba0e2113de5c4c69&oe=5B42F040","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12938311_10153653821618022_8294846355966456551_n.jpg?oh=8eeaa357b708912ed844f4e63187915b&oe=5B44425B",,"210-8053202","Δημητρίου Ράλλη 11 Μαρούσι Αττικής",,,
"K1 GYM","Αθήνα","Γέρακας","Πολεμικές τέχνες",,,"https://www.facebook.com/pages/K1-GYM/395867683809750?sk=timeline","http://k1gym.com/","site-under3.jpg","Aρκαδίας 8,Γέρακας,Τ.Κ. 15344","15344",,"twins_hellas@yahoo.gr",,,,,,,,,"832","395867683809750","ΑΘΛΗΤΙΚΟΣ ΓΥΜΝΑΣΤΙΚΟΣ ΣΥΛΛΟΓΟΣ Κ1","K1Gerakas","https://www.facebook.com/K1Gerakas/","KICK BOXING BRAZILIAN JIU JITSU BOXING MMA CROSS TRAINING ΠΑΙΔΙΚΑ ΤΜΗΜΑΤΑ (KICK BOXING - BRAZILIAN JIU JITSU)","907","Martial Arts School","http://www.k1gym.com","832","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/8145_1019588254771020_3542181665753554565_n.jpg?oh=5fc7c6a3bee44c4a9938931b97dd9da2&oe=5B40A854","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/1237573_1019560878107091_8068342463111679771_n.jpg?oh=3b1555937306d0166f08d02fb0b407d3&oe=5B03D19F","twins_hellas@yahoo.gr","2106617246","Αρκαδίας 8, Γέρακας","23.8583797","38.009612",
"Ορειβατικός Σύλλογος Αχαρνών","Αθήνα","Αχαρνές","ΑΘΛΗΜΑΤΑ ΒΟΥΝΟΥ",,,"https://www.facebook.com/pages/%CE%95%CE%9F%CE%A3-%CE%91%CF%87%CE%B1%CF%81%CE%BD%CF%8E%CE%BD-EOS-Acharnon/155891397896937?ref=hl","http://www.eosacharnon.gr/","67405_155892637896813_1015583624_n.jpg","Φιλαδελφείας 126,Αχαρνές,Τ.Κ: 13673","13673",,"eosa@otenet.gr",,,,,,,,,"767","155891397896937","Αθλητικός - Ορειβατικός Σύλλογος","eosacharnon","https://www.facebook.com/eosacharnon/","ΕΟΣ ΑΧΑΡΝΩΝ - 2015 ΣΥΝΘΕΣΗ ΔΙΟΙΚΗΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ http://www.eosacharnon.gr/eosacharnon.html","187","Sports & Recreation","http://www.eosacharnon.gr","767","https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.50.50/p50x50/67405_155892637896813_1015583624_n.jpg?oh=8356f891f474ded93b3a93ad562a6e24&oe=5B056011","https://scontent.xx.fbcdn.net/v/t31.0-0/q85/p480x480/18518285_838745492944854_1660212570951623541_o.jpg?oh=cb28ea37bfea7d7bf7041d1449e30899&oe=5B428034","eosa@otenet.gr","2102461528","Λ. Φιλαδελφειας 126","23.7372179","38.0705551","288954494477441"
"Δ-club Δικαίος","Αθήνα","Πειραιάς","Κλειστού Χώρου",,,"https://www.facebook.com/pages/%CE%93%CF%85%CE%BC%CE%BD%CE%B1%CF%83%CF%84%CE%AE%CF%81%CE%B9%CE%BF-%CE%94-Club-%CE%94%CE%B9%CE%BA%CE%B1%CE%AF%CE%BF%CF%82/498112743584880?fref=ts",,"logo (14).jpg","Υψηλάντου 143-145, Πειραιάς, ΤΚ 18535","18535",,"gym_dclub@yahoo.gr",,,,,,,,,"1545","498112743584880","ΓΙΑΤΙ ΘΑ ΝΙΩΘΕΙΣ ΥΠΕΡΟΧΑ ΟΤΑΝ ΞΕΡΕΙΣ ΟΤΙ ΦΕΡΕΣΑΙ ΣΩΣΤΑ ΣΤΟΝ ΕΥΑΤΟ ΣΟΥ.","Γυμναστήριο-Δ-Club-Δικαίος-498112743584880","https://www.facebook.com/Γυμναστήριο-Δ-Club-Δικαίος-498112743584880/","ΠΡΟΓΡΑΜΜΑΤΑ Δ-CLUB ( PILATES - ΣΟΥΗΔΙΚΗ- ZUMBA - AEROBIC - STRETCHING - ΟΛΙΓΟΜΕΛΗ ΤΜΗΜΑΤΑ (1 - 5 ΑΤΟΜΩΝ) ΚΑΙ ΑΤΟΜΙΚΑ ΠΡΟΓΡΑΜΜΑΤΑ (PERSONAL) - ΘΕΡΑΠΕΥΤΙΚΑ ΚΑΙ ΕΙΔΙΚΑ ΠΡΟΓΡΑΜΜΑΤΑ ΜΕΤΑ ΤΟΝ ΤΟΚΕΤΟ - ΘΕΡΑΠΕΥΤΙΚΟ - ΜΥΟΧΑΛΑΡΩΤΙΚΟ ΜΑΣΣΑΖ - ΔΙΑΤΡΟΦΗ ΜΕ ΚΛΙΝΙΚΟ ΔΙΑΤΡΟΦΟΛΟΓΟ ) ΧΩΡΙΣ ΕΓΓΡΑΦΗ ΚΑΙ ΔΕΣΜΕΥΣΕΙΣ","493","Gym/Physical Fitness Center","http://www.d-club.gr","1545","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/10154009_886128341449983_5029760980939384271_n.jpg?oh=3fe249c69cef883e2271cf5d57d22225&oe=5B35A57E","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/10947330_863932463669571_6976729555029488111_n.jpg?oh=9af127e2330523346a91a5b1901809ed&oe=5B470DD0","www.gym_dclub@yahoo.gr","2104220590","Υψηλάντου 143-145","23.6489218","37.9409686",
"Action Martial Arts & Fitness – Α.Σ Taekwondo Αργυρούπολης","Αθήνα",,"Πολεμικές τέχνες","Hapkido,Tae Kwon Do",,"https://www.facebook.com/pages/Greek-Hapkido-Association/255474924463126","http://www.hapkidogreece.com/","http://www.fightsports.gr/wp-content/uploads/2013/12/action-martial-arts-fitness.jpg","Φλέμινγκ 6,Αργυρούπολη",,"210 99 38 401","actiongymnasthrio@hotmail.com",,,,,,,,,"353","255474924463126",,"Greek-Hapkido-Association-255474924463126","https://www.facebook.com/Greek-Hapkido-Association-255474924463126/","Η Πανελλήνια Ένωση Χαπκίντο (ΠEX) με πρόεδρο τον προσωπικό μαθητή του Grand Master Kwang Sik Myung, Master Ευάγγελο Θάνο, 7ου Βαθμού (Dan) μαύρη ζώνη στο Hapkido και 8ου Βαθμού (Dan) μαύρη ζώνη στο Tae Kwon Do, είναι ο μόνος φορέας στην Ελλάδα που μπορεί να εγγυηθεί τη συνεχή εκπαίδευση και υποστήριξη σε κάθε επίπεδο, ως μέλος της Παγκόσμιας Ομοσπονδίας Χαπκίντο (World Hapkido Federation). Αξιοσημείωτο είναι ότι η W.H.F. είναι η μοναδική ομοσπονδία Hapkido η οποία εξασκεί όλη την ύλη του αυθεντικού παραδοσιακού Hapkido με πάνω από 3.500 βασικές τεχνικές και περίπου 10.000 συνδυασμούς.","31","Education","http://www.hapkidogreece.com/","353","https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.50.50/p50x50/13731637_1297409973602944_3218460424754962266_n.jpg?oh=92cd7e8cd2e4cc20f39d72da20ecb6c1&oe=5B373B2C","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/28516258_1939204392756829_7167484768277215515_o.png?oh=7928dab66cb9845246ca1c3783b6c99f&oe=5B00A747",,"210-9938401","Φλεμινγκ 6 Αργυρουπολη","23.7508202","37.9108009",
"GROUPakia","Αθήνα","ΠόρτοΡάφτη","Κλειστού Χώρου","ΓΥΜΝΑΣΤΗΡΙΟ",,"https://www.facebook.com/pages/Groupakia-Studio/1623604017871610?fref=ts","http://www.groupakia.com/","10997468_1623608334537845_4563240305360725559_n.png","Λεωφόρος Πόρτο Ράφτη 235,Πόρτο Ράφτη,Τ.Κ. 19003","19003",,"info@groupakia.com",,,,,,,,,"1639","1.62360401787161E+15","Στον υπερσύγχρονο και άριστα εξοπλισμένο χώρο μας θα βρείτε τις πιο σύγχρονες μεθόδους γυμναστικής","Groupakia-Studio-1623604017871610","https://www.facebook.com/Groupakia-Studio-1623604017871610/",,"232","Personal Trainer","http://www.groupakia.com","1639","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/26733991_2112447162320624_8194336022382171127_n.jpg?oh=e3e5f77f4ef3d2bf285b467974ad7878&oe=5B41916E","https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/14369921_1855751954656814_3623933725086799803_n.jpg?oh=36d725cf05b7c4c50797513a35d329b1&oe=5B02FB78",,"6948 579 715","ΛΕΩΦ.ΠΟΡΤΟ ΡΑΦΤΗ 235 - 19003","24.00535003375","37.88621441125",
"Gym Addict","Αθήνα","Αργυρούπολη","Κλειστού Χώρου","ΓΥΜΝΑΣΤΗΡΙΟ",,"https://www.facebook.com/pages/GymAddict/317718091728497?sk=timeline","http://www.gymaddict.gr/","779a85_aa1aba543e2c4a3caa1f54c3073047edpng_srz_444_278_75_22_050_120_000_png_srz.png","25ης Μαρτίου 43, Αργυρούπολη,Τ.Κ 16452","16452",,"info@gymaddict.gr",,,,,,,,,"728","317718091728497","Το Γυμναστήριο που θα σε κάνει να γίνεις Addict-ed σε αυτό!","gymaddictfitnessclub","https://www.facebook.com/gymaddictfitnessclub/","Το GymAddict fitness club άνοιξε τις πόρτες του τον Σεπτέμβριο του 2014, σε έναν ολοκαίνουριο χώρο 1000 τ.μ, δίπλα στην Κεντρική Πλατεία της Αργυρούπολης, και όπως όλα δείχνουν ήρθε για ταράξει τα νερά στα Νότια Προάστια. Φιλόξενο και έμπειρο προσωπικό, υπερσύγχρονος εξοπλισμός by Technogym, Rowers & Skiergs by Concept2, Δημοφιλή Ομαδικά Προγράμματα, Indoor Cycling,Pilates Reformer, Functional Training, TRX & Προγράμματα Personal Training είναι μόνο μερικοί από τους λόγους που θα σας κάνουν να το προτιμήσετε και τελικά να γίνεται addicted σε αυτό! Σε ποιους απευθύνεται; Σε αυτούς που αγαπούν την γυμναστική και την έχουν ήδη εντάξει στην ζωή τους, αλλά και σε όλους εκείνους που επιθυμούν να κάνουν το πρώτο τους βήμα τον χώρο του fitness με σωστή και πλήρη καθοδήγηση σε ένα γυμναστήριο διαφορετικά από τα υπόλοιπα. Εδώ θα σας μάθουμε να αγαπήσετε την πραγματική Γυμναστική και να είστε σίγουροι...ότι μόλις δείτε τα πρώτα αποτελέσματα θα γίνεται gymaddictED!","3016","Gym/Physical Fitness Center","http://www.gymaddict.gr","728","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/10561679_346662565500716_648513959040429030_n.jpg?oh=02c727d25afa5773e026ab8e070e6880&oe=5B44EC9E","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18953590_831281880372113_1911962363092537881_o.jpg?oh=e1b9b3079c0ecc61f6f272cba34219ab&oe=5B491F32","info@gymaddict.gr","0030 2109943455","25is Martiou 43, Argyroupoli","23.752660751343","37.904469887854",
"My House Training Studio","Αθήνα","ΝέοΨυχικό","Κλειστού Χώρου","PERSONAL TRAINER",,"https://www.facebook.com/pages/My-House-Training-Studio/398388863668720","http://myhousets.gr/","the-house-logo-f-01.jpg","Καλαβρύτων 21,Νέο Ψυχικό,Τ.Κ: 15451","15451",,"myhouse@myhousets.gr",,,,,,,,,"1431","398388863668720","“My House Training Studio”, Personal Training και Small Groups στον πιο όμορφο χώρο με τους πλέον έμπειρους πιστοποιημένους γυμναστές, στο Ν.Ψυχικό.","My-House-Training-Studio-398388863668720","https://www.facebook.com/My-House-Training-Studio-398388863668720/","Το “My House Training Studio” στο Ν.Ψυχικό είναι ένας εξειδικευμένος χώρος εκγύμνασης που προσφέρει υπηρεσίες personal training, small groups fitness και indoor cycling. Μια ομάδα πιστοποιημένων καθηγητών φυσικής αγωγής με μακρόχρονη εμπειρία και εξειδίκευση ενώνουν τις γνώσεις και το πάθος τους και σας μεταφέρουν τα οφέλη της άσκησης τόσο σωματικά όσο και ψυχικά. Το My House Training Studio αποτελεί έναν εξειδικευμένο χώρο εκγύμνασης που προσφέρει υπηρεσίες υψηλής ποίοτητας, σωματικής άσκησης και ευεξίας. Ο Ανδρέας Βρόντος και ο Κωνσταντίνος Αγωγιάτης, καθηγητές φυσικής αγωγής και Personal Trainers, έχοντας μακροχρόνια πείρα στο χώρο του Personal Training, του Group Fitness και του Sports Coaching θα σας βοηθήσουν να φτάσετε τον στόχο σας. Μαζί με μια ομάδα πιστοποιημένων γυμναστών με εμπειρία και εξειδίκευση, ενώνουν τις γνώσεις και το πάθος τους, και σας μεταφέρουν τα οφέλη της άσκησης τόσο σωματικά όσο και ψυχικά. Σκοπός μας είναι να θέσουμε στόχους μαζί, να τους επιτύχουμε και να γίνει η άσκηση η σημαντικότερη καθημερινή σας συνήθεια. ","1523","Personal Trainer","http://www.myhousets.gr","1431","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/10494823_398397690334504_5833584723113849708_n.jpg?oh=706889d7a66787b61177cc7d97d07fcc&oe=5B0C03FA","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/11071000_441573842683555_5749402997235243647_o.jpg?oh=133bd7ab94dd49b21814aa3b5fd4e07e&oe=5B48ABC9","a.vrontos@gmail.com","2114015101","Καλαβρύτων 21","23.777782917023","38.003890033442",
