School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile,Eidos
Λυρικός μικρός πλανήτης,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",Στέγη Πολιτισμού,,,,https://pigolampides.gr/wp-content/uploads/2015/03/logo-lyrikos1.png,,,,,,,,,,,,pigolampides,,
Παιχνίδια με νότες,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",Εργαστήρι Μουσικής Προπαιδείας,,,,https://pigolampides.gr/wp-content/uploads/2015/06/paixnidianotes.jpg,,,,,,,,,,,,pigolampides,,
Εύα Φεβγίδου,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",Σχολή Μπαλέτου,,,,https://pigolampides.gr/wp-content/uploads/2015/09/logo-eva-fevgidou.jpg,,,,,,,,,,,,pigolampides,,
Μικρό Επιστημονικό,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",κέντρο μελέτης & δημιουργικής απασχόλησης,,,,https://pigolampides.gr/wp-content/uploads/2016/04/MIKRO_NEW_LOGO-360x240saxpekidi.jpeg,,,,,,,,,,,,pigolampides,,
Ντεπώ Θεσσαλονίκης,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",Μουσική Σχολή,,,,https://pigolampides.gr/wp-content/uploads/2016/05/ntepo-mousiki-sxoli.jpg,,,,,,,,,,,,pigolampides,,
Παιδεία Παίζει,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",Κέντρο Δημιουργικής ΑπασχόλησηςΠαιδιών,,,,https://pigolampides.gr/wp-content/uploads/2016/06/logopaideiapaizei.jpg,,,,,,,,,,,,pigolampides,,
Full Out Dance,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",Dance School,,,,https://pigolampides.gr/wp-content/uploads/2016/11/FULLOUTLOGO-500x333.jpg,,,,,,,,,,,,pigolampides,,
Art Academy Νεφέλες,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
C. for Circus,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Dance Lab Studio,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Iasmos Balance,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Melotropio,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Studio Έργον,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Άσπα Φούτση,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Δημοτικό Ωδείο Θεσσαλονίκης,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Έκφραση,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Θεατρική Εταιρία Νεφέλες,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Θέατρο Ανδρέας Βουτσινάς,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Θέατρο Φλέμιγκ,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Λαμπιόνι,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Ντουέντε,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Πούπουλο,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Συν,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Το αβγό,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Φυλλίς Μάτζιαρη,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Χοροδημιουργίες,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
Ωδείο Βορείου Ελλάδος,Αθήνα,,"Παιδαγωγικά,Καλιτεχνικά",,,,,,,,,,,,,,,,,pigolampides,,
TANGart,Αθήνα,,Χορός,,,,,,"Kallirrois 10, Athina 117 43, Greece",,,,,,,,,,,google-hunter,,
Θοδωρης Πανας / Σχολη Χορου Αθηνων,Αθήνα,,Χορός,,,,,,"Marathonomachon 51, Athina 104 41, Greece",,,,,,,,,,,google-hunter,,
Catedral Estudio de Tango,Αθήνα,,Χορός,,,,,,"Leof. Mesogeion 57, Athina 115 26, Greece",,,,,,,,,,,google-hunter,,
Κρατική Σχολή Ορχηστικής Τέχνης (ΚΣΟΤ),Αθήνα,,Χορός,,,,http://www.ksot.gr/,,"Omirou 55, Athina 106 72, Greece",,21 0361 2263,auditions@ksot.gr,,,,,,,,google-hunter,,
Quickstep Dance School,Αθήνα,,Χορός,,,,http://www.quickstep.gr/,,"Imittou 119, Athina 116 33, Greece",,21 0722 2340,info@quickstep.gr,,,,,,,,google-hunter,,
Σχολή Χορού FREDS american dance center - ΠΑΓΚΡΑΤΙ,Αθήνα,,Χορός,,,,http://www.freds.gr/,,"Imittou 117, Παγκράτι, Αθήνα 116 33, Greece",,21 0752 5100,sayas@freds.gr,,,,,,,,google-hunter,,
DANCE MOMENTS STUDIO,Αθήνα,,Χορός,,,,https://www.facebook.com/pg/DanceMoments.gr,,"Dodonis 118, Athina 104 43, Greece",,21 1407 0627,,,,,,,,,google-hunter,,
GADALA ΕΞΕΙΔΙΚΕΥΜΕΝΕΣ ΣΧΟΛΕΣ ΧΟΡΟΥ ORIENTAL BELLY DANCE ΧΟΡΟΣ ΤΗΣ ΚΟΙΛΙΑΣ ΟΡΙΕΝΤΑΛ BELLYDANCING,Αθήνα,,Χορός,,,,http://www.gadala.gr/,,"Agias Eleousis 5, Athina 105 54, Greece",,21 0321 1008,info@gadala.gr,,,,,,,,google-hunter,,
tangoFIX,Αθήνα,,Χορός,,,,,,"& 66,, Leof. Andrea Siggrou ke Diliados, Athina 117 42, Greece",,,,,,,,,,,google-hunter,,
σχολη χορου,Αθήνα,,Χορός,,,,,,"Chaimanta 12, αθηνα χαλανδρι 152 34, Greece",,21 0685 4718,,,,,,,,,google-hunter,,
JOHN ROUSSOS DANCE STUDIO,Αθήνα,,Χορός,,,,,,"Karaiskaki 105, Athina 124 61, Greece",,21 0581 6449,,,,,,,,,google-hunter,,
Pole Jam,Αθήνα,,Χορός,,,,http://www.polejam.gr/,,"Agias Eleousis 5, Athina 105 54, Greece",,693 636 6880,,,,,,,,,google-hunter,,
Apollon Dance Studio,Αθήνα,,Χορός,,,,http://apollondancestudio.gr/,,"Klisouras 20, Agii Anargiri 135 61, Greece",,21 0269 2502,info@apollondancestudio.gr,,,,,,,,google-hunter,,
El Abrazo,Αθήνα,,Χορός,,,,http://www.elabrazotango.gr/,,"Kapeten Petroutsou 7, Athina 115 23, Greece",,21 0644 4958,info@elabrazotango.gr,,,,,,,,google-hunter,,
Cubania Dancehouse,Αθήνα,,Χορός,,,,,,"Leof. Kifisias 1, Athina 115 23, Greece",,,,,,,,,,,google-hunter,,
Galena's Dance Studios Chalandri,Αθήνα,,Χορός,,,,,,"Leof. Pentelis 10, Chalandri 152 34, Greece",,,,,,,,,,,google-hunter,,
Galenas Dance Studios,Αθήνα,,Χορός,,,,,,"ΕΛ.ΒΕΝΙΖΕΛΟΥ 55, Ν.ΣΜΥΡΝΗ 171 23, Greece",,,,,,,,,,,google-hunter,,
Dance Up,Αθήνα,,Χορός,,,,,,"5th Floor, Protogenous 1, Athina 105 54, Greece",,,,,,,,,,,google-hunter,,
POLOSI Pole Studio,Αθήνα,,Χορός,,,,,,"Asklipiou 156, Athina 114 71, Greece",,,,,,,,,,,google-hunter,,
Rising Stars Dance Academy,Αθήνα,,Χορός,,,,,,"Sina 9, Athina 106 80, Greece",,,,,,,,,,,google-hunter,,
La Secta Dance Company,Αθήνα,,Χορός,,,,http://www.lasecta.gr/,,"Λεωφόρος Συγγρού 57, Athina 117 45, Greece",,21 0921 3313,info@lasecta.gr,,,,,,,,google-hunter,,
STUDIO SELI KANOU,Αθήνα,,Χορός,,,,http://www.selikanou.com/,,"6, Voutsara 4, Athina 118 55, Greece",,693 213 0805,info@selikanou.com,,,,,,,,google-hunter,,
Polessence Pole Dance & Acrobatics Studio,Αθήνα,,Χορός,,,,http://www.polessence.gr/,,"Klisovis 7, Athina 106 77, Greece",,694 054 7575,,,,,,,,,google-hunter,,
Street Shadows Dance School,Αθήνα,,Χορός,,,,,,"Triptolemou 30, ΚΕΡΑΜΕΙΚΟΣ 118 54, Greece",,21 0346 4979,,,,,,,,,google-hunter,,
SpinTop Athens Studio - Pole • Aerial • Dance • Fitness,Αθήνα,,Χορός,,,,http://www.spintopathens.gr/,,"Amfiaraou 59, Athina 104 42, Greece",,21 1012 2952,,,,,,,,,google-hunter,,
GALENAS DANCE STUDIOS,Αθήνα,,Χορός,,,,http://www.galenasdancestudios.gr/,,"Leof. Mesogeion 180, Cholargos 155 61, Greece",,21 0656 1355,kx@galenasdancestudios.gr,,,,,,,,google-hunter,,
Athens Lindy Hop | Μαθήματα Swing Χορού,Αθήνα,,Χορός,,,,http://www.athenslindyhop.com/,,"Fthiotidos 24, Athina 115 23, Greece",,,,,,,,,,,google-hunter,,
Εργαστήρι θεάτρου-Ξένια Καλογεροπούλου,Αθήνα,,Θέατρο,,,,http://portaergastiri.blogspot.gr/,,"M. Merkouri 54, Athina 115 21, Greece",,21 0324 9829,,,,,,,,,,,
WORKSHOP MAIRIVI,Αθήνα,,Θέατρο,,,,http://www.mairivi.gr/,,"Sachtouri 4, Athina 105 53, Greece",,21 0522 2181,foris-bounces@mairivi.gr,,,,,,,,,,
Μικρό Πολυτεχνείο Σεμινάρια Τέχνης αρχαρίων κάθε ηλικίας στην Αθήνα,Αθήνα,,Θέατρο,,,,https://www.mikropolytexneio.gr/,,"Pl. Agion Asomaton 7, Athina 105 54, Greece",,21 0324 3306,info@mikropolytexneio.gr,,,,,,,,,,
Εθνικό Θέατρο,Αθήνα,,Θέατρο,,,,http://www.n-t.gr/,,"Agiou Konstantinou 22, Athina 104 37, Greece",,21 0528 8100,efitheodorou@n-t.gr,,,,,,,,,,
Σχολείο Παιχνιδιού - Εργαστήρι Πολιτιστικής Εκπαίδευσης,Αθήνα,,Θέατρο,,,,http://www.sxoleiopaixnidiou.gr/,,"Ivis 23, Athina 105 54, Greece",,21 0323 5462,info@sxoleiopaixnidiou.gr,,,,,,,,,,
Athens Conservatoire,Αθήνα,,Θέατρο,,,,http://www.athensconservatoire.gr/,,"Vasileos Georgiou B 17, Athina 106 74, Greece",,21 0724 0673,info@athensconservatoire.gr,,,,,,,,,,
"Greek Dances Theatre ""Dora Stratou""",Αθήνα,,Θέατρο,,,,http://www.grdance.org/,,,,21 0324 4395,mail@grdance.org,,,,,,,,,,
ΓΥΜΝΑΣΤΙΚΟΣ   ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΣΤΟΧΟΣ,Αθήνα,,Μουσική,Ωδείο,,,,,"Arachovis 39, Athina 106 81, Greece",,,,,,,,,,,,,
Α.Γ.Σ. ΑΛΚΗ,Αθήνα,,Μουσική,Ωδείο,,,,,"Athens 105 53, Greece",,,,,,,,,,,,,
Α.Γ.Σ. ΕΥ ΑΓΩΝΙΖΕΣΘΑΙ,Αθήνα,,Μουσική,Ωδείο,,,http://www.labmusiceducation.gr/,,"Soultani 12, Athina 106 83, Greece",,21 0383 9400,vari@labmusiceducation.gr,,,,,,,,,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΦΟΙΝΙΞ,Αθήνα,,Μουσική,Ωδείο,,,http://www.athensconservatoire.gr/,,"Vasileos Georgiou B 17, Athina 106 74, Greece",,21 0724 0673,info@athensconservatoire.gr,,,,,,,,,,
Α.Σ. ΟΛΥΜΠΙΟΣ ΖΕΥΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ ΑΤΤΙΚΗΣ,Αθήνα,,Μουσική,Ωδείο,,,http://www.nakas.edu.gr/,,"Ippokratous 41, Athina 106 80, Greece",,21 0363 4000,,,,,,,,,,,
Curves Άγιος Δημήτριος,Αθήνα,,Μουσική,Ωδείο,,,http://www.ekeim.gr/,,"3is Septemvriou 130, Athina 112 51, Greece",,21 1411 1848,,,,,,,,,,,
The Brotherhood,Αθήνα,,Μουσική,Ωδείο,,,http://odysseus.culture.gr/h/2/gh251.jsp?obj_id=6622,,"Areopagitou Dionisiou, Athina 105 55, Greece",,21 0324 1807,,,,,,,,,,,
Oxygen Fitness Club,Αθήνα,,Μουσική,Ωδείο,,,http://www.emst.gr/,,"Λεωφ. Καλλιρρόης και Αμβρ. Φραντζή, Αθήνα, 117 43, Greece",,21 1101 9000,dimitris.kannas@emst.gr,,,,,,,,,,
GF STUDIO,Αθήνα,,Μουσική,Ωδείο,,,https://sites.google.com/site/odeiooperaedu/,,"Patision 216, Athina 112 56, Greece",,21 0865 7700,copyright@sites.google.com,,,,,,,,,,
Shinkage Ryu Iaido - Asunarokai Dojo,Αθήνα,,Μουσική,Ωδείο,,,http://www.ethnikoodeio.com/,,"Mezonos, Athina 104 38, Greece",,21 0523 3175,,,,,,,,,,,
Αθλητικός Γυμναστικός Σύλλογος Αγίας Βαρβάρας (Mavridis Team),Αθήνα,,Μουσική,Ωδείο,,,http://www.gig.com.gr/gig/,,"Eresou 29, Athina 106 81, Greece",,21 0381 0991,,,,,,,,,,,
Α.Σ. Olympian Team – Αγίας Βαρβάρας,Αθήνα,,Πολεμικές τέχνες,Capoeira,,,http://www.athenscapoeira.gr/,,"Kallirrois 10, Athina 117 43, Greece",,693 879 3131,info@athenscapoeira.gr,,,,,,,,,,
Οδυσσέας Αγίας Βαρβαρας,Αθήνα,,Πολεμικές τέχνες,Capoeira,,,http://capoeira-corpo-fechado.business.site/,,"Argolidos 48, Athina 115 23, Greece",,693 879 3131,,,,,,,,,,,
Οδυσσέας Αγίας Βαρβαρας,Αθήνα,,Πολεμικές τέχνες,Capoeira,,,http://www.capoeirasoueu.gr/,,"Mikinon 11, Athina 104 35, Greece",,693 266 4610,molinha@capoeirasoueu.gr,,,,,,,,,,
Olympian Team,Αθήνα,,Πολεμικές τέχνες,Capoeira,,,http://www.findhere.gr/findhere/ms-general.do?companyId=35959&r=1478546159948,,"Leof. Mesogeion 186, Χολαργός, Αθήνα 155 61, Greece",,21 0654 5150,info@findhere.gr,,,,,,,,,,
Phoenix Boxing Club,Αθήνα,,Πολεμικές τέχνες,Capoeira,,,http://www.barracaodacapoeira.gr/,,"Skouze 5, Athina 105 60, Greece",,,,,,,,,,,,,
Battle Arena,Αθήνα,,Πολεμικές τέχνες,Capoeira,,,http://www.capoeira-athens.com/,,"Athinas ke Protogenous, Athina 105 54, Greece",,693 271 7616,info@capoeira-athens.com,,,,,,,,,,
Α.Σ Kick Boxing Πυγμή «Victory Camp»,Αθήνα,,Πολεμικές τέχνες,Capoeira,,,http://www.nucleocapoeira.com/,,"Neratziotissis 73, Marousi 151 24, Greece",,698 605 3627,,,,,,,,,,,
KEIKO SHOTOKAN KARATE-DO,Αθήνα,,Πολεμικές τέχνες,Capoeira,,,http://www.thetribe.gr/,,"Kolokotroni 72 & Vasileos Georgiou, 4th Floor, Pireas 185 35, Greece",,21 3000 1584,,,,,,,,,,,
Α.Σ. ΦΟΙΝΙΞ,Αθήνα,,Θέατρο,Θεατρικό Εργαστήρι,,,http://www.rondiris.gr/,,"Lamias 6, Tavros 177 78, Greece",,694 555 4127,,,,,,,,,,,
Tragakis Studio,Αθήνα,,Θέατρο,Θεατρικό Εργαστήρι,,,http://www.eleftherosxima.com/,,"Grigoriou Xenopoulou 15, Ilioupoli 163 46, Greece",,21 0752 3004,info@eleftherosxima.com,,,,,,,,,,
Bulls Fight Academy,Αθήνα,,Θέατρο,Θεατρικό Εργαστήρι,,,http://www.operipatos.gr/,,"Agiou Konstantinou 22, Athina 104 37, Greece",,21 0995 4189,info@operipatos.gr,,,,,,,,,,
Jikokensan Dojo,Αθήνα,,Θέατρο,Θεατρικό Εργαστήρι,,,http://www.n-t.gr/,,"Ivis 23, Athina 105 54, Greece",,21 0528 8100,efitheodorou@n-t.gr,,,,,,,,,,
EAST FIGHTERS,Αθήνα,,Θέατρο,Θεατρικό Εργαστήρι,,,http://www.sxoleiopaixnidiou.gr/,,,,21 0323 5462,info@sxoleiopaixnidiou.gr,,,,,,,,,,
READING ACADEMY,Αθήνα,,Χορός,,,,,,"Leof. Dimokratias 73, Melissia 151 27, Greece",,,,,,,,,,,,,
Α.Σ. ΑΕΝΑΟΝ ΑΘΗΝΩΝ- SHORINJI RYU KARATE,Αθήνα,,Χορός,,,,,,"Flemingk 24, Marousi 151 23, Greece",,,,,,,,,,,,,
Α.Μ.Σ. ΚΕΡΑΥΝΟΣ ΑΓ. ΠΑΥΛΟΥ,Αθήνα,,Χορός,,,,,,"Lamprou Katsoni 126, Moschato 183 44, Greece",,,,,,,,,,,,,
Α.Π.Σ. ΔΟΞΑ ΑΓ. ΠΑΥΛΟΥ,Αθήνα,,Χορός,,,,,,"Eth. Antistaseos 9, Nea Ionia 142 34, Greece",,,,,,,,,,,,,
Real Ryder Studio,Αθήνα,,Χορός,,,,,,"Ελ Βενιζέλου 37 Μελίσσια, Athens 151 27, Greece",,,,,,,,,,,,,
Nas Camp,Αθήνα,,Χορός,,,,,,"Kipselis 94, Athina 113 63, Greece",,,,,,,,,,,,,
ΑΟ Αγίου Στεφάνου,Αθήνα,,Χορός,,,,,,"Promitheos 19-21, Athina 112 54, Greece",,,,,,,,,,,,,
Pulse,Αθήνα,,Χορός,,,,,,"28ης Οκτωβρίου 303-305, 111 44, Greece",,,,,,,,,,,,,
Pulse,Αθήνα,,Χορός,,,,,,"Ktisifontos 8, Athina 118 52, Greece",,,,,,,,,,,,,
Α.Μ.Σ. ΓΑΛΑΞΙΑΣ ΑΔΕΝΔΡΟΥ,Αθήνα,,Χορός,,,,http://www.britishcouncil.gr/,,"17 Filikis Etairias, Kolonaki, Athina 106 73, Greece",,801 500 3692,victoria.kyriaki@britishcouncil.gr,,,,,,,,,,
Α.Σ Τζούντο Εύαθλος,Αθήνα,,Χορός,,,,http://www.athensconservatoire.gr/,,"Vasileos Georgiou B 17, Athina 106 74, Greece",,21 0724 0673,info@athensconservatoire.gr,,,,,,,,,,
Αττική Δύναμη Σεπολίων,Αθήνα,,Χορός,,,,http://www.perdiki.gr/,,"Lomvardou 104, Athina 114 74, Greece",,21 0644 3279,info@perdiki.gr,,,,,,,,,,
White Tiger Muay Thai Camp,Αθήνα,,Χορός,,,,,,http://www.grdance.org/,,21 0324 4395,mail@grdance.org,,,,,,,,,,
Aikido Center,Αθήνα,,Χορός,,,,http://eurodance.gr/,,"Feron 2, Athina 104 34, Greece",,21 0822 1525,info@eurodance.gr,,,,,,,,,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΑΙΓΑΛΕΩ,Αθήνα,,Χορός,,,,http://www.schoolofdance.gr/,,"Ironda 8, Athina 116 35, Greece",,21 0721 1138,,,,,,,,,,,
Α.Σ. TAEKWONDO ΑΙΓΑΛΕΩ Ο ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ,Αθήνα,,Χορός,,,,http://www.choro-logie.com/,,"Pireos 76, Athina 104 35, Greece",,21 0523 1060,info@choro-logie.com,,,,,,,,,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΑΘΛΟΣ ΑΙΓΑΛΕΩ,Αθήνα,,Χορός,,,,http://www.mayastores.gr/,,"Nikis 2, Athina 105 63, Greece",,21 0323 6642,gkonstas@mayastores.gr,,,,,,,,,,
ΓΥΜΝΑΣΤΙΚΟΣ   ΣΥΛΛΟΓΟΣ ΤΑΕΚΒΟΝΤΟ ΑΧΙΛΛΕΑΣ  ΑΙΓΑΛΕΩ,Αθήνα,,BABY SWIMMING,,,,http://aquaswimmingcenter.wixsite.com/aquaswim,,"Meg. Alexandrou 67, Peristeri 121 32, Greece",,21 1404 7004,,,,,,,,,,,
City Gym,Αθήνα,,BABY SWIMMING,,,,http://xelonakia.gr/,,"Ilektras 7, Kallithea 176 73, Greece",,21 0952 0025,kallithea@xelonakia.gr,,,,,,,,,,
ENTASIS FITNESS CLUB,Αθήνα,,BABY SWIMMING,,,,http://www.gorgoneskaimages.gr/,,"Archipelagous 88, Αθήνα 165 62, Greece",,21 0960 6786,info@gorgoneskaimages.gr,,,,,,,,,,
"ΑΚΑΔΗΜΙΑ ΠΟΛΕΜΙΚΩΝ ΤΕΧΝΩΝ ""ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ""",Αθήνα,,BABY SWIMMING,,,,http://holmesplace.gr/,,"5 Sekeri & Kanari, Athina 106 71, Greece",,21 0747 5600,maroussi@holmesplace.gr,,,,,,,,,,
Σ.ΦΙ.ΓΑ(σύλλογος φίλων γυμναστικής Αιγάλεω),Αθήνα,,BABY SWIMMING,,,,http://sports.daiscenter.gr/,,"Mesogion 151, Marousi 151 26, Greece",,21 0618 6050,,,,,,,,,,,
Curves Αιγάλεω,Αθήνα,,BABY SWIMMING,,,,http://www.asteries.gr/,,"Kikladon 11, Argiroupoli 164 52, Greece",,21 0996 4422,info@asteries.gr,,,,,,,,,,
Social Arenas Aigaleo,Αθήνα, ΑΓΙΑ ΒΑΡΒΑΡΑ-μαιν,Αθλητισμός,Volley,,,  www.odysseusbc.gr,, Αριστοτέλους  6,,,,,,,,,,,,,Αθλητικός Σύλλογος
Personal Center,Αθήνα, ΑΓΙΑ ΒΑΡΒΑΡΑ,Αθλητισμός,Volley,,,,, ΣΙΠΥΛΟΥ 16,, 210 8145864,,,,,,,,,,,
2be FIT,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,,
Kritikos Camp,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
KRAV MAGA ΑΙΓΑΛΕΩ,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
KARATE ΑΙΓΑΛΕΩ - Η ΚΑΡΔΙΑ ΤΟΥ ΠΟΛΕΜΙΣΤΗ,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,Αθλητική Ένωση
Arcane Fighthood,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
Α.Σ. Μαχητικών Αθλημάτων Αίγινας,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,Αθλητισμός,Volley,,,,, ΠΥΛΟΥ 5,,,,,,,,,,,,,Αθλητικός Όμιλος
ΑΟ Αστέρας '80 Αλιβερίου,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/pages/Battle-Arena/904419969576450?fref=ts,http://www.battlearena.gr/,,Μεσογείων 449 & Ελπίδος 1,15343,,info@battlearena.gr,,,,,,,,wefit.gr,,
Southern Judo Academy,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν,Αθλητισμός,Basket,,https://www.facebook.com/agspolinikis,http://agspolinikis.gr/,,Σιπύλου 16,12351,,grapgeo@gmail.com,,,,,,,,wefit.gr,,Γυμναστικός Αθλητικός Σύλλογος
Α.Σ ΤΡΩΕΣ ΑΛΙΜΟΥ,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν,Κλειστού Χώρου,,,https://www.facebook.com/CurvesGR,http://www.curves.gr/,,Ειρήνης 112,15342,,mchrysanthou@curves.com,,,,,,,,wefit.gr,,Γυμναστήριο
Α.Σ. ΩΡΙΩΝ,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν,Πολεμικές τέχνες,,,https://www.facebook.com/pages/Palaistra/1426674040877305,http://www.palaistra.gr/,,Λεωφ. Μεσογείων 452,15341,,info@palaistra.gr,,,,,,,,wefit.gr,,
Α.Σ. ΓΑΙΑ,Αθήνα, ΑΙΓΑΛΕΩ,Αθλητισμός,Volley,,,,, Ν.ΠΛΑΣΤΗΡΑ 20,, 2105315411,,,,,,,,,,,Αθλητικός Όμιλος
Α.Σ. ΩΡΙΩΝ,Αθήνα, ΑΙΓΑΛΕΩ,Αθλητισμός,Volley,,,,, ΚΥΛΛΗΝΗΣ  9,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
Α.Σ. ΦΩΚΕΑΣ,Αθήνα, ΑΙΓΑΛΕΩ,Αθλητισμός,Volley,,,  www.melasoagioseleutherios.gr,, ΙΕΡ.ΝΑΟΣ ΕΥΑΓΓ/ΣΜΟΥ ΤΗΣ ΘΕΟΤΟΚΟΥ ,, 2105445926,,,,,,,,,,,
Α.Σ. ΜΑΙΑΝΔΡΟΣ,Αθήνα, ΑΙΓΙΝΑ,Αθλητισμός,Volley,,,  www.aeginavolley.gr,, ΔΗΜΟΤΙΚΟ ΓΗΠΕΔΟ ΑΙΓΙΝΑΣ ,,,,,,,,,,,,,Αθλητικός Όμιλος
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΤΑΕΚΒΟΝΤΟ ΜΟΜΕΝΤΟΥΜ ,Αθήνα, ΑΛΙΜΟΣ,Αθλητισμός,Volley,,,  www.tatavlasc.gr,, ΜΕΓΑΛΗ ΤΟΥ ΓΕΝΟΥΣ ΣΧΟΛΗ 10,, 2109402473,,,,,,,,,,,Αθλητικός Όμιλος
Α.Σ. ΩΡΙΩΝ,Αθήνα, ΑΡΓΥΡΟΥΠΟΛΗ,Αθλητισμός,Volley,,,  www.aonavolley.gr,, ΟΛΥΜΠΙΑΣ 1 & ΛΕΩΦ.ΑΡΓΥΡΟΥΠΟΛΕΩΣ ,, 2109904284,,,,,,,,,,,
Reborn training,Αθήνα, ΑΡΓΥΡΟΥΠΟΛΗ,Αθλητισμός,Volley,,,,, ΑΒΕΡΩΦ 12,,,,,,,,,,,,,Αθλητικός Σύλλογος
Equalibre Pilates,Αθήνα, ΓΛΥΦΑΔΑ,Αθλητισμός,Volley,,,  www.evriali.gr,, Σ.ΒΕΜΠΟ & ΠΑΛΜΥΡΑΣ ,, 2109642335,,,,,,,,,,,
WORKOUT HALL,Αθήνα, ΓΛΥΦΑΔΑ,Αθλητισμός,Volley,,,  www.aixwni.gr,, ΜΥΚΗΝΩΝ 27,, 2109605336,,,,,,,,,,,
Twins Fit Aliki & Maria Dimakopoulou,Αθήνα, ΔΡΑΠΕΤΣΩΝΑ,Αθλητισμός,Volley,,,,, ΡΗΓΑ ΦΕΡΑΙΟΥ & ΚΟΥΝΤΟΥΡΙΩΤΗ ,, 2104082675,,,,,,,,,,,
