School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile
Legacy Fight Club,Αθήνα,Νέα Σμύρνη (είσοδος από Πριήνης),Πολεμικές τέχνες,Boxing,,https://www.facebook.com/pages/Legacy-Fight-Club/227052447466651?sk=timeline,,http://www.fightsports.gr/wp-content/uploads/2015/01/legacy-fight-club-logo.jpg,,,2130 305 295,legacyfightclub@hotmail.com,,,,,,,,fightsports.gr,6944 583 285
Life - Ergo Εργομετρικό Κέντρο,Αθήνα,Βάρη-main,MEDICAL,,,https://www.facebook.com/Varitennisclub?ref=br_rs,http://varitennisclub.gr/,,Παΐζη 56,16672,,kampanaosjohn@yahoo.gr,,,,,,,,wefit.gr,
LILY LAU EAGLE CLAW KUNG FU,Αθήνα,Εξάρχεια,Πολεμικές τέχνες,,,,,https://www.polemikes-tehnes.gr/pics/logos/b/201492212922349.jpg,,,, ,,,,,,,,Polemikes-technes.gr,
Lions Camp,Αθήνα,ΚΕΡΑΤΣΙΝΙ,Πολεμικές τέχνες,,,https://www.facebook.com/george.sene.1,https://www.facebook.com/pages/Lions-Camp-Muay-Thai-School/161875777285884?sk=timeline,,Γρηγορίου Λαμπράκη 401,18755,,,,,,,,,,wefit.gr,
Livestrong,Αθήνα,Π. ΦΑΛΗΡΟ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/livestrongthegym?ref=br_rs,http://www.livestrongthegym.gr/#/HOME-01-00/,,Άρεως 18,17562,,info@livestrongthegym.gr,,,,,,,,wefit.gr,
LM GYM,Αθήνα,Κολωνάκι,ΓΥΜΝΑΣΤΗΡΙΟ,,,http://www.facebook.com/lmgym,http://www.lmgym.gr/,,Πλατεία Κολωνακίου 20,10674,,info@imgym.gr,,,,,,,,wefit.gr,
"M.Α.Σ. ""ΕΥ. ΜΑΝΤΟΥΛΙΔΗΣ""  ",Θεσσαλονίκη,ΘΕΡΜΗ,Αθλητισμός,Volley,,,,,,,,,,,,,,,2000,,
MAD GYM by Drinas,Αθήνα,Χαϊδάρι,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/MAD-GYM-BY-Drinas-1825975207675197/,,http://www.fightsports.gr/wp-content/uploads/2017/01/15991816_1876247035942241_1842094823_o.jpg,,,,,,,,,,,,fightsports.gr,6932 468 258
Mara Gym,Αθήνα,Κολωνάκι,ΓΥΜΝΑΣΤΗΡΙΟ,,,,http://www.maragym.gr/,,Υψηλάντου 13-15,10675,,info@maragym.gr,,,,,,,,wefit.gr,
Marily's Fitness,Αθήνα,ΚΕΡΑΤΣΙΝΙ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/Marilys-Fitness/107725132671970?fref=ts,http://www.marilysfitness.gr/,,Ρήγα Φεραίου 75,18758,,,,,,,,,,wefit.gr,
Marousi Dojo,Αθήνα,ΜΑΡΟΥΣΙ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Martial Arts Club,Αθήνα,Ν. ΗΡΑΚΛΕΙΟ,Πολεμικές τέχνες,,,https://www.facebook.com/groups/79376785787/,http://martialartsclub2.webnode.com/,,Χέλμου 7,14122,,hrakldio.dojo@gmail.com,,,,,,,,wefit.gr,
MARTIAL ARTS CLUB – ΝΕΟ ΗΡΑΚΛΕΙΟ,Αθήνα,Ν. Ηράκλειο,Πολεμικές τέχνες,,,www.facebook.com/groups/systema.athens/?fref=ts,www.martialartsclub.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2015814141453404.jpg,,,210 2817909, hrakleio.dojo@gmail.com,,,,,,,,Polemikes-technes.gr,
MARTIAL ARTS FOUNDATION,Αθήνα,Νέο Ψυχικό,Πολεμικές τέχνες,,,www.facebook.com/MartialArtsFoundation,www.ma-foundation.gr/el,https://www.polemikes-tehnes.gr/pics/logos/b/2014818135637986.jpg,,,, hfoundationma@gmail.com,,,,,,,,Polemikes-technes.gr,
Martial Arts Foundation (AWA member),Αθήνα,Ν. ΨΥΧΙΚΟ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Masagatsu Dojo,Αθήνα,ΠΕΤΡΟΥΠΟΛΗ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Maximum Fitness,Αθήνα,Άνω Γλυφάδα,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/GlyfadaMaximumFitnessGym/timeline,http://www.maximum-fitness-gym.gr/,,Μικράς Ασίας 94,16562,,maximum.fitness.gym.glyfada@gmail.com,,,,,,,,wefit.gr,
Mediterranean Dive Center,Αθήνα,ΠΕΙΡΑΙΑΣ,Θάλασσα,ΚΑΤΑΔΥΤΙΚΑ ΚΕΝΤΡΑ,,https://www.facebook.com/MediteranneanDiveCenter/timeline,http://www.pozidis.gr/,,Αλεξάνδρου Παπαναστασίου 95(πρωην Β.Παύλου),18533,,info@pozidis.gr,,,,,,,,wefit.gr,
MegaFit Gym,Αθήνα,Χατζηκυριάκειο,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/megafit.gym,http://www.megafit.gr/,,Λ. Χατζηκυριάκου & Φλέσσα 2,18534,,info@megafit.gr,,,,,,,,wefit.gr,
Meikonikan Dojo,Αθήνα,ΑΓ. ΔΗΜΗΤΡΙΟΣ-main,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
MIRMIDON FIGHTERS,Αθήνα,ΜΕΤΑΜΟΡΦΩΣΗ,Πολεμικές τέχνες,,,https://www.facebook.com/pages/Mirmidon-Fighters/701396446619619?fref=ts,,,Δεξαμενής 22,14451,,gitersosteam@gmail.com,,,,,,,,wefit.gr,
Mpasdekis Gym Prive,Αθήνα,ΗΛΙΟΥΠΟΛΗ,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,https://www.facebook.com/MpasdekisGym?fref=ts,,,Koυντουριώτη 13,16342,,mpasdekis_gym@hotmail.com,,,,,,,,wefit.gr,
Muay Thai Plexousakis Camp,Αθήνα,Περιστέρι,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/pages/Muay-Thai-Plexousakis-camp/155684337914541,www.thaiboxing.gr,http://www.fightsports.gr/wp-content/uploads/2015/06/plexousakis-camp-logo.jpg,,,210 57 39 153,info@thaiboxing.gr,,,,,,,,fightsports.gr,6943 58 26 98
Muay Thai Plexousakis camp,Αθήνα,ΠΕΡΙΣΤΕΡΙ,Πολεμικές τέχνες,,,https://www.facebook.com/pages/Muay-Thai-Plexousakis-camp/155684337914541?sk=timeline,,,Εθνάρχη Μακαρίου 31,12131,,plextheking@hotmail.com,,,,,,,,wefit.gr,
Muaythai Νέα Σμύρνη (Blue Dragon Team),Αθήνα,Νέα Σμύρνη,Πολεμικές τέχνες,Muay Thai,,https://www.facebook.com/MuaythaiNeaSmyriniAthens,,http://www.fightsports.gr/wp-content/uploads/2014/02/1266199_634071046614345_1735255253_o.jpg,,,,,,,,,,,,fightsports.gr,6981 580 714 - 6984 883 589
MUSHINDOKAN AIKIDO,,,Πολεμικές τέχνες,,,,,https://www.polemikes-tehnes.gr/pics/logos/b/2015816122745993.jpg,,,,,,,,,,,,Polemikes-technes.gr,
Mushindokan Dojo,Αθήνα,ΜΕΤΑΜΟΡΦΩΣΗ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
MVS Tennis Systems,Αθήνα,ΝΕΑ ΜΑΚΡΗ,Αθλητισμός,Τένις,,https://www.facebook.com/MvsTennisSystems?fref=ts,http://www.mvstennissystems.com/el/,,Αγίου Αντωνίου,19007,,info@mvstennis.gr,,,,,,,,wefit.gr,
My House Training Studio,Αθήνα,Νέο Ψυχικό,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,https://www.facebook.com/pages/My-House-Training-Studio/398388863668720,http://myhousets.gr/,,Καλαβρύτων 21,15451,,myhouse@myhousets.gr,,,,,,,,wefit.gr,
My Pilates,Αθήνα,ΠΕΙΡΑΙΑΣ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/%CE%93%CF%85%CE%BC%CE%BD%CE%B1%CF%83%CF%84%CE%AE%CF%81%CE%B9%CE%BF-%CE%94-Club-%CE%94%CE%B9%CE%BA%CE%B1%CE%AF%CE%BF%CF%82/498112743584880?fref=ts,,,Υψηλάντου 143-145,18535,,gym_dclub@yahoo.gr,,,,,,,,wefit.gr,
My Pilates,Αθήνα,Γλυφάδα,ΓΥΜΝΑΣΤΗΡΙΟ,,,,http://www.mypilates.gr/,,Γούναρη 39,16672,,info@mypilates.gr,,,,,,,,wefit.gr,
MYKONOS BJJ,Μύκονος,,Πολεμικές τέχνες,,,www.facebook.com/MykonosBrazilianJiuJitsu/,,https://www.polemikes-tehnes.gr/pics/logos/b/2017112121484398.jpg,,,, routaz@yahoo.gr,,,,,,,,Polemikes-technes.gr,
Narei Studio,Αθήνα,ΠΕΡΙΣΤΕΡΙ,ΠΟΛΥΧΩΡΟΣ,,,,http://www.taekwondogreece.gr/kickboxing/index.php,,Σαραντοπόρου 62,12131,,parasidis.kirakios@gmail.com,,,,,,,,wefit.gr,
Nas Camp,Αθήνα,Άγιος Στέφανος (εμπορικό Γαλαξία),Πολεμικές τέχνες,Tae Kwon Do,,https://www.facebook.com/NAS-Sports-Camp-420385754724551/?fref=ts,,http://www.fightsports.gr/wp-content/uploads/2015/12/nas-camp-logo.jpg,,,210 62 15 542,nascamp@outlook.com,,,,,,,,fightsports.gr,6981 005 948 - 6947 779 390
Natural Movement,Θεσσαλονίκη,ΘΕΡΜΗ,Αθλητισμός,Natural Movement,,,,,,,,,,,,,,,,,
Navasana,Αθήνα,ΚΕΡΑΤΣΙΝΙ,ΓΥΜΝΑΣΤΗΡΙΟ,YOGA,,https://www.facebook.com/NAVASANA,http://navasana.gr/,,Πάναγνη Τσαλδάρη 58,18757,,,,,,,,,,wefit.gr,
New Life up,Αθήνα,ΙΛΙΟΝ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/www.lifeupgym.gr?fref=ts,http://www.lifeup.gr/,,Ιδομενέως 112,13122,,,,,,,,,,wefit.gr,
Nick's athletic center,Αθήνα,ΜΑΡΟΥΣΙ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/nicksathleticcenter,http://www.nicks-athletic-center.gr/index.html,,Οδ. Ανδρούτσου 10 (πλησιον ΗΣΑΠ),15124,,nicksathleticcenter@yahoo.gr,,,,,,,,wefit.gr,
NishiMachi,Αθήνα,ΠΕΡΙΣΤΕΡΙ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Nissakia Surf Club,Αθήνα,Άρτεμις,Θάλασσα,ΘΑΛΑΣΣΙΑ ΣΠΟΡ,,https://www.facebook.com/pages/Nissakia-Wave-Society/224733967543784?fref=ts,http://nissakia.gr/,,Παραλία 25ης Μαρτίου,19016,,contact@nissakia.gr,,,,,,,,wefit.gr,
NORTHERN EAGLE CLAW KUNG FU – GREGORY VASILAKIS,Αθήνα,ΚΕΡΑΤΣΙΝΙ,Πολεμικές τέχνες,,,www.facebook.com/yingjowpaigreece,www.yingjowpai.gr,https://www.polemikes-tehnes.gr/pics/logos/b/201497184840520.jpg,,,2104111021, sifuvasilakis@yahoo.gr,,,,,,,,Polemikes-technes.gr,
OAKA Indoor Climbing,Αθήνα,ΟΑΚΑ,ΑΘΛΗΜΑΤΑ ΒΟΥΝΟΥ,,,https://www.facebook.com/OakaIndoorClimbing/timeline,http://www.oakaindoorclimbing.gr/,,Σπύρου Λούη 37,15124,,info@oakaindoorclimbing.gr,,,,,,,,wefit.gr,
OAKABOX,Αθήνα,,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/pages/OAKA-BOX/513514568759590,http://www.wefit.gr/fitness-places/oakabox/okbxclub.gr,,OAKA-ΚΟΛΥΜΒΗΤΗΡΙΟ,,,,,,,,,,,wefit.gr,
Okeanos Sports Center,Αθήνα,ΠΑΛΛΗΝΗ,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/pages/Okeanos-Sports-Center/239349169454576?fref=ts,http://www.okeanos-sc.gr/index.asp,,Πύλου 8,15351,,info@okeanos-sc.gr,,,,,,,,wefit.gr,
OLD SCHOOL FIGHT GYM,Αθήνα,Ελληνικό,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/oldschoolfightgym/timeline,,http://www.fightsports.gr/wp-content/uploads/2015/01/fight-old-school-gym.jpg,,,,vasxer1977@gmail.com,,,,,,,,fightsports.gr,6947 522 295
Olympian Team,Αθήνα,Αγία Βάρβαρα-main,Πολεμικές τέχνες,,,https://www.facebook.com/pages/Olympian-Team-%CE%91%CE%B8%CE%BB%CE%B7%CF%84%CE%B9%CE%BA%CF%8C%CF%82-%CE%93%CF%85%CE%BC%CE%BD%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CF%8C%CF%82-%CE%A3%CF%8D%CE%BB%CE%BB%CE%BF%CE%B3%CE%BF%CF%82-%CE%91%CE%B3%CE%AF%CE%B1%CF%82-%CE%92%CE%B1%CF%81%CE%B2%CE%AC%CF%81%CE%B1%CF%82/677076702302902?sk=timeline,,,Κουντουριωτου 3,12351,,,,,,,,,,wefit.gr,
Olympian Team – Αθλητικός Σύλλογος Αγίας Βαρβάρας,Αθήνα,Αγία Βαρβάρα,Πολεμικές τέχνες,Kickboxing,,https://www.facebook.com/Olympian-Team-%CE%91%CE%B8%CE%BB%CE%B7%CF%84%CE%B9%CE%BA%CF%8C%CF%82-%CE%93%CF%85%CE%BC%CE%BD%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CF%8C%CF%82-%CE%A3%CF%8D%CE%BB%CE%BB%CE%BF%CE%B3%CE%BF%CF%82-%CE%91%CE%B3%CE%AF%CE%B1%CF%82-%CE%92%CE%B1%CF%81%CE%B2%CE%AC%CF%81%CE%B1%CF%82-677076702302902/,,http://www.fightsports.gr/wp-content/uploads/2015/01/olympian-team-logo.jpg,,,210 49 64 863,fotacademy2014@gmail.com,,,,,,,,fightsports.gr,6984 793 351 - 6944 622 793
Operational Krav Maga Hellenic Department,Αθήνα,Αστυπάλαια,Πολεμικές τέχνες,Krav Maga,,https://www.facebook.com/okmhellas,,http://www.fightsports.gr/wp-content/uploads/2016/09/14407673_1648053778839605_307616394_n.jpg,,,,operationalkravmagagreece@yahoo.com,,,,,,,,fightsports.gr,6949 073 657
Orthosomia,Αθήνα,Κάτω Κηφισιά,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,https://www.facebook.com/pages/Orthosomia-Pilates-Yoga-Thai-Massage/213312072030018,http://www.orthosomia.gr/,,Σωκράτους 2,14561,,victory-@otenet.gr,,,,,,,,wefit.gr,
Oso yoga,Αθήνα,,ΓΥΜΝΑΣΤΗΡΙΟ,YOGA,,https://www.facebook.com/glyfada.osoyogastudios?fref=ts,http://www.osoyogastudios.com/,,,,,osoyogadina@yahoo.com,,,,,,,,wefit.gr,
Outdoor Fitness Club OAKA,Αθήνα,,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,https://www.facebook.com/pages/Outdoor-Fitness-Club-OAKA/398482233611567?sk=timeline,http://outdoorfitnessclub.gr/,,ΟΑΚΑ-ΣΤΙΒΟΣ,,,,,,,,,,,wefit.gr,
Oxygen Fitness Club,Αθήνα,ΑΓ. ΔΗΜΗΤΡΙΟΣ-main,ΓΥΜΝΑΣΤΗΡΙΟ,,,,,,Σουλίου 57,17342,,,,,,,,,,wefit.gr,
Pagration Arena,Αθήνα,,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/pagrationarena/,,http://www.fightsports.gr/wp-content/uploads/2013/12/pagration-arena-logo.jpg,,,,info@pagration-arena.gr,,,,,,,,fightsports.gr,6948 047 572 - 6945 060 696
Pagration arena,Αθήνα,ΖΩΓΡΑΦΟΥ,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/pagrationarena,http://pagration-arena.gr/,,Διάκριας 14 κ Καββαθά 30,15773,,themis.vasilis@gmail.com,,,,,,,,wefit.gr,
Palaistra,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,Πολεμικές τέχνες,,,https://www.facebook.com/pages/Palaistra/1426674040877305,http://www.palaistra.gr/,,Λεωφ. Μεσογείων 452,15341,,info@palaistra.gr,,,,,,,,wefit.gr,
Palmos Gym,Αθήνα,Πλησίον Σταθμού Λαρίσης,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/Palmos-Gym/184058728385751,http://www.palmos-gym.gr/,,Αλκαμένους 10,10439,,festivaldance@rocketmail.com,,,,,,,,wefit.gr,
Panagopoulos's Kung Fu Academy,Αθήνα,Βάρη-main,Πολεμικές τέχνες,,,,http://www.kungfu.gr/,,Βάκχου 2,16672,,getinfo@kungfu.gr,,,,,,,,wefit.gr,
PANDA ΣΤΟ ΝΕΡΟ,Αθήνα,ΒΡΙΛΗΣΣΙΑ,BABY SWIMMING,,,https://www.facebook.com/pages/Panda-%CF%83%CF%84%CE%BF-%CE%BD%CE%B5%CF%81%CF%8C/517172738322875,http://pandastonero.gr/,,Γράμμου 42,15235,,info@pandastonero.gr,,,,,,,,wefit.gr,
PAOK BASKET,Θεσσαλονίκη,,Αθλητισμός,Basket,PAOK,,http://www.paokbc-academies.gr/,,,,,,,,,,,,,,
PAOK FC,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,PAOK,,http://www.paokfc.gr/paok-academy/,,,,,,,,,,,,,,
Performance 22,Αθήνα,,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/Performance22,http://www.performance22.gr/,,,,,info@performance22.gr,,,,,,,,wefit.gr,
Persona Grata CROSS TRAINING CLUB,Αθήνα,Άνω Γλυφάδα,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,,http://www.persona-grata.gr/,,Λεωφόρος Βουλιαγμένης 80,16674,,contact@personagrata.gr,,,,,,,,wefit.gr,
Personal Center,Αθήνα,ΑΙΓΑΛΕΩ,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/stonehammerpersonalcenter,,,Θηβών 333 & Βάρναλη 1,12242,,,,,,,,,,wefit.gr,
Personal Studio by G.Papadimakis,Αθήνα,ΑΜΠΕΛΟΚΗΠΟΙ,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,https://www.facebook.com/georgepapadimakis,http://personalstudio.gr/,,Λεωφ. Αλεξάνδρας 122,10471,,info@personalstudio.gr,,,,,,,,wefit.gr,
Petroutsos Team Boxing CLUB,Αθήνα,Ίλιον,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/Petroutsos-Team-Boxing-CLUB-115575631938179/timeline/,,http://www.fightsports.gr/wp-content/uploads/2013/06/1375774_219429971552744_1458576141_n.png,,,,,,,,,,,,fightsports.gr,6938 544 056
Phoenix Boxing Club,Αθήνα,Αγία Παρασκευή,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/phoenixboxingclub63/,,http://www.fightsports.gr/wp-content/uploads/2017/11/phoenix-boxing-club-logo-1.jpg,,,2114 039 358,t_ritzakis@hotmail.com,,,,,,,,fightsports.gr,6909 156 435
Physical Fitness Club,Αθήνα,ΒΡΙΛΗΣΣΙΑ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/Physical-Fitness-Club/114247535339641,http://www.physicalclub.gr/index.php,,Αίαντος 3,15235,,info@physicalclub.gr,,,,,,,,wefit.gr,
Physical Gym,Αθήνα,Π. ΦΑΛΗΡΟ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/PHY24,http://www.physicalgym.gr/,,Λ. Αμφιθέας 23 ,17564,,info@physicalgym.gr,,,,,,,,wefit.gr,
Physiomedica dr Iliadis Team Athens,Αθήνα,,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/physiomedica.iliadis?fref=ts,http://physiomedica.gr/physiomedica/,,Κότσικα 2 Π.Άρεως – Αθήνα,,,info@physiomedica.gr,,,,,,,,wefit.gr,
Physiopolis,Αθήνα,ΧΑΛΑΝΔΡΙ,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/Physiopolis.official?fref=ts,http://www.wefit.gr/fitness-places/physiopolis/www.physiopolis.gr,,Παπαναστασίου 3,15234,,info@physiopolis.gr,,,,,,,,wefit.gr,
Physioway,Αθήνα,ΑΜΠΕΛΟΚΗΠΟΙ,MEDICAL,,,https://www.facebook.com/pages/Physioway/115136581992168?fref=nf,http://physioway.gr/,,Μπιζανίου 1 & Λεωφόρος Kηφισίας 101,11523,,,,,,,,,,wefit.gr,
Pilates by Mandy & more,Αθήνα,Π. ΦΑΛΗΡΟ,ΓΥΜΝΑΣΤΗΡΙΟ,PILATES,,https://www.facebook.com/livestrongthegym?ref=br_rs,http://www.livestrongthegym.gr/#/HOME-01-00/,,Άρεως 18,17562,,info@livestrongthegym.gr,,,,,,,,wefit.gr,
Pirates Headquarters,Αθήνα,Περιστέρι,Πολεμικές τέχνες,Judo,,https://www.facebook.com/bjjpirateshq/,,http://www.fightsports.gr/wp-content/uploads/2017/12/pirates-headquarters-logo.jpg,,,,phaedrav@gmail.com,,,,,,,,fightsports.gr,6980 491 497
PIT BULL GYM,Αθήνα,,ΓΥΜΝΑΣΤΗΡΙΟ,,,,,,,,,,,,,,,,,wefit.gr,
Planet Blue Diving Center,Αθήνα,Λαύριο,Θάλασσα,ΚΑΤΑΔΥΤΙΚΑ ΚΕΝΤΡΑ,,https://www.facebook.com/planetbluedivingcenter?fref=ts,http://www.planetblue.gr/content/index.php?option=com_content&view=frontpage&Itemid=57,,Πέρδικας 1,19500,,info@planetblue.gr,,,,,,,,wefit.gr,
PLANET FITNESS AND MORE,Αθήνα,ΒΡΙΛΗΣΣΙΑ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/planet.vrilissia?fref=ts,http://planetfitness.gr/clubs/vrilissia/,,Λεωφ. Πεντέλης 132,15235,,,,,,,,,,wefit.gr,
PLANET FITNESS AND MORE,Αθήνα,ΠΕΡΙΣΤΕΡΙ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/planet.peristeri,http://planetfitness.gr/clubs/peristeri/,,Φαναρίου 3,12133,,,,,,,,,,wefit.gr,
PLANET FITNESS AND MORE,Αθήνα,ΝΕΑ ΕΡΥΘΡΑΙΑ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/planet.erythraia,http://planetfitness.gr/clubs/nea-erythraia/,,Στροφυλίου 67,14671,,,,,,,,,,wefit.gr,
PLANET FITNESS AND MORE,Αθήνα,ΨΥΧΙΚΟ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/planet.psychiko/info?tab=overview,http://planetfitness.gr/clubs/psychiko/,,Λεωφ. Κηφισίας 338,15451,,,,,,,,,,wefit.gr,
PLANET FITNESS AND MORE,Αθήνα,Παγκράτι,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/planet.pagrati,http://planetfitness.gr/clubs/pagrati/,,Φρύνης 1-3,11634,,,,,,,,,,wefit.gr,
PLAY & FLY,Αθήνα,Σύνορα-Βριλλήσια-Γέρακας-Πάτημα Χαλανδρίου,,,,https://www.facebook.com/pages/PLAY-FLY/1381819405392797?fref=ts,,,Ολύμπου 44,15344,,dkaponi@gmail.com,,,,,,,,wefit.gr,
Pliakos Muay Thai Camp,Αθήνα,,Πολεμικές τέχνες,Muay Thai,,https://www.facebook.com/pages/PLIAKOS-MUAY-THAI-CAMP/132334743529481?fref=ts,,http://www.fightsports.gr/wp-content/uploads/2014/03/954511_10202060931499467_149087617_n.jpg,,,,,,,,,,,,fightsports.gr,6986804968 - 6947558099 - 6973433434
Polis Gym,Αθήνα,Πολύδροσο Χαλανδρίου,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/Polis-Gym/250634991682329?sk=timeline,http://www.polisgym.gr/index.php,,Σάμου 26,15125,,polisgym@gmail.com,,,,,,,,wefit.gr,
POLITIA TENNIS CLUB,Αθήνα,,Αθλητισμός,Τένις,,,,,,,,,,,,"Αριστοτέλους 18, Πολιτεία 210 6200003. 5 γήπεδα τένις, αίθουσα squash, αλλά και πισίνα, γυμναστήριο, σάουνα, play room, εστιατόριο και bar με θέα στα τερέν. Δευτ. - Κυρ. 8 π.μ. - 10 μ.μ.",,,,http://www.tennisnews.gr/play-tennis/clubs,
Power House Project,Αθήνα,ΓΛΥΦΑΔΑ,ΓΥΜΝΑΣΤΗΡΙΟ,PILATES,,https://www.facebook.com/pages/Power-House-Project/306359892835537,http://www.powerhouseproject.gr/,,Κολοκοτρώνη 36,16675,,info@powerhouseproject.gr,,,,,,,,wefit.gr,
Prana yoga,Αθήνα,ΜΑΡΟΥΣΙ,ΓΥΜΝΑΣΤΗΡΙΟ,YOGA,,https://www.facebook.com/pages/PRANA-Yoga-Pilates-Zumba/195861390490903,http://www.pranayoga.gr/index.html,,Oακα Kηφισίας 37,15123,,info@pranayoga.gr,,,,,,,,wefit.gr,
PRESIDENT GYM,Αθήνα,ΗΛΙΟΥΠΟΛΗ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/President-Gym/336864803078679?sk=timeline,,,Σκρα 15,16346,,,,,,,,,,wefit.gr,
Promachos Boxing Club,Αθήνα,ΧΑΛΑΝΔΡΙ,Πολεμικές τέχνες,,,https://www.facebook.com/promachosboxing/timeline,,,Κώστα Βάρναλη 27,15233,,mountakis.p@gmail.com,,,,,,,,wefit.gr,
Psilopatis Camp,Αθήνα,ΝΙΚΑΙΑ,Πολεμικές τέχνες,,,https://www.facebook.com/PsilopatisSpartansAcademy?fref=ts,http://www.muaythaicamp.gr/,,Κίμωνος 1 & Αχιλλέως,18454,,spartiatiki_akadimia@hotmail.com,,,,,,,,wefit.gr,
PSILOPATIS MUAY THAI CAMP - Α.Σ. ΣΠΑΡΤΙΑΤΙΚΗ ΑΚΑΔΗΜΙΑ,Αθήνα,ΝΙΚΑΙΑ,Πολεμικές τέχνες,,,www.facebook.com/giorgos.psilopatis,psilopatis-camp.business.site,https://www.polemikes-tehnes.gr/pics/logos/b/201711132242625.jpg,,,2155 506475, psilopatisgiorgos@gmail.com,,,,,,,,Polemikes-technes.gr,
Psychiko box nine76,Αθήνα,Νέο Ψυχικό,ΓΥΜΝΑΣΤΗΡΙΟ,CROSS FIT,,https://www.facebook.com/fitnesslab.gr?fref=ts,http://fitnesslab.gr/site2/,,Λαζάρου Σώχου 5,11525,,info@fitnesslab.gr,,,,,,,,wefit.gr,
Pulse,Αθήνα,Άγιος Στέφανος,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/PULSE/240162769373790,http://www.thepulse.gr/,,Λ.Μαραθώνος 4 ,14565,,info@thepulse.gr,,,,,,,,wefit.gr,
Pulse,Αθήνα,Άγιος Στέφανος,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/PULSE/240162769373790,http://www.thepulse.gr/,,Λ.Μαραθώνος 4 ,14565,,info@thepulse.gr,,,,,,,,wefit.gr,
Pyrsos Fight Team (ΑΓΣ ΚΟΡΩΠΙΟΥ ΕΛ. ΠΥΡΣΟΣ),Αθήνα,Κορωπί,Πολεμικές τέχνες,Kickboxing,,https://www.facebook.com/pyrsosfightteam/,,http://www.fightsports.gr/wp-content/uploads/2017/06/pyrsos-fight-team-logo.jpg,,,2155 201 707,ellinikospyrsos@yahoo.gr,,,,,,,,fightsports.gr,6977 564 539
